thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
11.998,10.5,-0.0232,767.77,1576.9,791.45,328.42,3.5355339060000004,40.9500008,40.81,-108.33331299999999,35.50012207,80.1414032,5.0,0.5554533,5.9067898,-46.749500299999994,67894.39844,-86.9585037,2334.229981
14.995999999999999,15.0,0.019200001,1677.36,2610.13,3645.66,1398.82,60.91387363,39.0,1164.26,82.66668701,57.50012207,55.2683983,2.0,1.65633118,85.5262985,-39.6329994,77393.70313,78.62020109999999,109.177002
9.003,10.0,0.0185,1783.25,671.91,811.77,619.88,12.509996000000001,32.4700012,2.01,27.66668701,41.50012207,76.1512985,6.0,1.15864003,-34.9351006,-25.970800399999998,60993.80078,108.3799973,111.822998
20.000999999999998,22.0,-0.033199999,2780.57,237.46,2034.4,62.46,12.9034882,55.61000061,11.4,-69.33331299,-18.5,84.9427,3.0,1.5873708,-23.6896,-56.21129989999999,123381.0,-154.375,4086.0
15.997,15.0,0.0104,2594.01,1980.72,3045.5,1853.01,47.20699101,45.720001200000006,1832.94,69.66668701,52.50012207,40.9320984,2.0,2.00655007,67.632103,-32.3312988,200631.0,57.940101600000006,387.3259888
12.995999999999999,12.0,0.0002,978.76,2907.57,2123.31,465.34,7.90569415,34.0,231.44,43.66668701,2.50012207,80.84349820000001,6.0,1.29633439,-62.0628014,-37.5283012,66215.0,118.4800034,257.2640076
12.495,13.51,0.0118,2078.43,585.3,579.05,731.61,14.57737974,34.5600014,73.23,22.66668701,43.50012207,77.26589969999999,6.0,1.17113245,-14.823599800000002,-30.6760006,52452.0,89.3519974,772.3640137
9.504,10.0,-0.028100001,318.18,1288.13,1540.16,751.68,13.50925609,30.0,130.9,-1.3333129879999999,39.50012207,65.3011017,5.0,1.10699606,-0.979467,-40.3003006,44797.30078,49.544399299999995,739.8170166
15.004000000000001,15.0,0.022299998999999997,2211.58,2027.16,2177.13,1691.52,27.2855273,41.7700005,1212.53,34.66668701,56.50012207,40.8300018,1.0,2.84999537,-226.75,-44.947601299999995,266538.0,73.4408035,224.0780029
5.002,6.0,0.0104,1499.06,2670.64,4436.51,1959.26,37.4232559,37.95999908,307.13,-96.33331299,78.50012207,54.4811,2.0,2.09953,-66.6850967,-20.5727997,130378.0,133.0599976,63.0
15.005,15.99,0.0495,2489.88,864.92,1346.06,776.74,31.31293662,45.8699989,1429.4,61.66668701,36.50012207,61.8213005,4.0,1.08267558,28.0522995,-29.3390007,76650.10156,21.8603992,297.3320007
11.495999999999999,11.5,-0.032000002,387.53,735.8,217.82,113.51,7.516648189,32.3899994,117.85,-118.33331299999999,36.50012207,79.67130279999999,5.0,0.69703376,199.9819946,-44.6715012,65300.60156,-54.4353981,3471.0
14.004000000000001,13.0,0.021500001,2545.76,980.4,1661.43,905.86,31.21698256,42.909999799999994,1528.99,58.66668701,38.50012207,48.1724014,3.0,1.18808997,41.4445,-30.2283001,164009.0,19.279300699999997,89.91729740000001
11.495,11.5,-0.0244,412.08,592.77,833.78,550.18,7.516648189,35.0,22.5,-105.33331299999999,26.50012207,79.42590329999999,5.0,0.37227124,20.098199800000003,-51.7787018,47877.30078,-51.1790009,1820.939941
20.003,20.0,0.039299997999999996,1237.0,1808.24,1240.08,610.19,2.549509757,45.5600014,188.11,-103.333313,38.50012207,73.368103,3.0,1.4791733,197.6589966,-40.1301994,84204.20313,-44.412300099999996,1404.880005
14.997,14.0,0.021600001,1855.8,2559.44,3737.09,1535.95,58.38236035,38.0,1326.98,79.66668701,57.50012207,57.3549995,2.0,1.63901889,10.7123003,-37.0167007,125384.0,69.50949859999999,114.310997
15.004000000000001,14.5,-0.0106,2503.35,4433.76,3712.74,395.75,12.34908904,43.5,27.76,29.66668701,-5.5,71.8179016,4.0,1.8048438999999998,-16.228000599999998,-42.8027992,178478.0,-13.706299800000002,764.8779907
9.0,9.995,-0.0385,921.83,1181.29,897.95,329.08,3.5355339060000004,42.49000170000001,49.84,-111.33331299999999,40.50012207,79.00610350000001,5.0,0.36222750000000004,51.5144997,-47.349399600000005,73331.20313,-87.2425003,2454.1201170000004
12.995,13.0,0.0141,2940.95,2031.32,2354.09,1548.74,36.09016487,40.4799995,1980.23,54.66668701,54.50012207,43.3632011,1.0,2.68189931,212.326004,-34.479198499999995,271824.0,93.4340973,244.7830048
13.002,12.0,-0.0071,1618.29,1172.48,1009.26,1301.52,64.64131806,42.0,184.77,106.66668700000001,32.50012207,57.3030014,3.0,1.77741218,0.90848,-31.829099699999997,86485.10156,-25.2887993,1037.390015
6.005,7.0,-0.0143,1026.32,2690.38,3098.13,384.98,4.74341649,41.0,1208.08,-13.33331299,26.50012207,76.3499985,6.0,1.66399312,-9.3025799,-24.147800399999998,76006.29688,120.5960007,121.09799960000001
9.504,10.0,-0.0099,208.83,1282.24,1564.09,803.46,14.30034965,29.1700001,44.12,-1.3333129879999999,38.50012207,66.1755981,5.0,1.0907892,3.89868,-40.4090004,49792.69922,58.09909820000001,509.92898560000003
9.998,10.0,-0.018999999,1374.48,2434.01,2358.94,1225.72,15.5724115,30.540000899999995,626.81,-8.333312988,53.50012207,64.0196991,6.0,1.84647,126.97299960000001,-35.1643982,80507.39844,132.4120026,76.72190090000001
8.997,9.5,0.034400001,1413.95,1551.63,1402.54,1590.98,18.34393633,37.5800018,626.82,-86.33331299,30.50012207,45.4500008,4.0,1.71635747,-45.654098499999996,-29.338100399999995,167011.0,131.72300719999998,11.9422998
15.0,14.0,0.023800001,1844.46,2885.36,3947.97,1704.43,59.85398901,38.0,1484.19,79.66668701,60.50012207,61.319599200000006,2.0,1.74459434,3.82988,-35.6138,204066.0,68.30619809999999,67.70259859999999
7.004,7.0,-0.0196,564.67,263.82,11.01,151.8,7.90569415,27.959999100000005,14.25,35.66668701,32.50012207,69.9871979,6.0,0.97234499,-10.0523996,-26.078399700000002,80560.39844,134.38400269999997,-25.1483994
14.998,15.0,0.018300001,2912.11,1999.36,2312.19,1513.1,35.36240942,41.1699982,1942.63,53.66668701,54.50012207,47.029701200000005,1.0,2.62614489,97.72910309999999,-39.2122993,262458.0,92.00430300000001,179.05599980000002
12.998,13.0,0.0309,2390.97,1034.68,1314.06,561.28,24.05202694,40.319999700000004,958.5,43.66668701,47.50012207,58.0737,1.0,2.32958746,-24.6224995,-38.5882988,185912.0,84.02400209999999,85.0942993
11.504000000000001,12.0,-0.049699999,452.83,1252.74,455.12,187.45,7.516648189,42.9000015,35.3,-111.33331299999999,35.50012207,60.5746002,5.0,0.35153434,139.36099240000001,-44.1338005,75050.10156,-52.338699299999995,1714.27002
13.003,12.0,-0.0178,2353.95,3356.36,3661.03,472.51,15.50806242,39.0,2609.7,6.666687012000001,7.50012207,29.1795006,6.0,1.01906466,-54.596900899999994,-30.975299800000002,46563.69922,134.7539978,127.16699979999999
11.004000000000001,10.0,-0.019300001,618.06,2444.53,1672.66,574.47,6.0415229870000005,34.0,423.32,44.66668701,6.50012207,66.3089981,6.0,1.12883127,16.1018009,-34.9550018,70191.39844,53.5354996,475.6059875
12.5,13.0,0.0019,1274.25,3801.9,4255.37,1619.79,17.67766953,39.0,3050.3,-5.333312988,7.50012207,21.5555992,2.0,2.32657743,-49.2559013,-32.6301003,254582.0,129.6860046,232.7310028
15.995,17.01,0.0027,1345.1,2594.77,2467.52,1803.3,19.91230775,49.0999985,959.24,22.66668701,62.50012207,43.7151985,1.0,2.62425995,8.4366903,-47.6029015,207854.0,66.8228989,131.1940002
14.004000000000001,14.0,0.0125,2647.68,3278.52,3392.42,2879.31,25.10975906,34.9000015,1209.81,-75.33331299,50.50012207,28.725700399999997,2.0,2.31990767,-105.4329987,-38.083301500000005,225088.0,72.6977997,371.5220032
