thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,thickness_crust,d_2_young_rift,lon,lat,upper_mantle_vel_structure,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
1.21,1.21,-0.0603,86.84,3476.72,2461.33,1405.54,1312.4816468197587,7.13,1874.46,-150.5,-60.5,12.0,1.12007,-7.84553194046,-17.819758,19595.65353,391.947357178,-2935
0.71,1.56,-0.061000001,99.61,3518.0,2511.45,1381.11,1276.7403052259424,7.12,1900.08,-149.5,-60.5,12.0,1.12007,-8.83584594727,-16.3155,19739.79568,398.125366211,-3059
0.69,1.51,-0.063100003,135.84,3560.13,2561.41,1358.29,1243.0473922262672,6.91,1925.53,-148.5,-60.5,12.0,1.12007,-7.62412118912,-15.154879999999999,20211.62224,405.459503174,-3205
0.66,1.46,-0.06329999900000001,182.04,3603.09,2611.22,1337.3,1211.5812020638575,6.68,1950.79,-147.5,-60.5,12.0,1.12007,-5.3162112236,-14.304751999999999,20450.79994,412.893981934,-3358
0.66,1.47,-0.060400002,227.22,3646.84,2660.87,1318.33,1182.5263820213602,6.69,1975.88,-146.5,-60.5,12.0,1.12007,-3.59139537811,-13.716247000000001,21105.01862,419.449737549,-3405
0.7,1.51,-0.054400001,274.57,3691.33,2710.36,1301.61,1156.0710884840073,6.94,2001.16,-145.5,-60.5,12.0,1.12007,-2.83496570587,-14.337345999999998,21043.500900000003,424.739807129,-3395
0.71,1.56,-0.048300002,324.6,3736.55,2759.68,1287.34,1132.4032717130556,7.14,2026.85,-144.5,-60.5,12.0,1.12007,-2.38591432571,-15.516298,21765.14626,429.198272705,-3442
0.72,1.57,-0.045299999,374.11,3782.45,2808.84,1275.68,1111.7060981768593,7.2,2038.84,-143.5,-60.5,12.0,1.12007,-1.17013406754,-15.521856,21347.20993,433.554718018,-3588
0.72,1.58,-0.045200001,403.74,3828.99,2857.82,1266.75,1094.1526178736913,7.21,2022.83,-142.5,-60.5,12.0,1.13461,1.37403643131,-15.443148999999998,21969.915390000002,438.167938232,-3613
0.71,1.55,-0.045699999000000005,389.69,3854.32,2906.62,1260.59,1079.8999043390452,7.1,2007.34,-141.5,-60.5,12.0,1.13461,5.00928163528,-15.659029,21440.347670000003,442.955871582,-3734
0.7,1.52,-0.0447,383.85,3802.58,2955.25,1257.2,1069.083020865386,6.99,1992.38,-140.5,-60.5,12.0,1.10088,7.65492725372,-17.310285999999998,22023.13423,447.717926025,-3826
0.71,1.54,-0.0429,386.62,3750.65,3003.69,1256.49,1061.8092730127705,7.06,1977.98,-139.5,-60.5,12.0,1.10088,6.72235059738,-17.678073,21499.27139,452.382324219,-3895
0.71,1.56,-0.0418,397.79,3698.52,3051.95,1258.34,1058.1532654870623,7.13,1964.14,-138.5,-60.5,12.0,1.03074,2.25324249268,-17.376547,22070.127490000003,457.05291748,-4029
0.7,1.53,-0.041700002,416.72,3646.21,3100.02,1262.6,1058.1532654870623,7.02,1950.89,-137.5,-60.5,12.0,1.03074,-2.44750547409,-16.439201999999998,21522.777560000002,461.791870117,-4137
0.69,1.53,-0.0407,442.37,3593.72,3147.89,1269.11,1061.8092730127705,6.98,1938.24,-136.5,-60.5,12.0,1.00562,-4.37239551544,-15.29592,22088.695529999997,466.552520752,-4189
0.7,1.52,-0.036800001,473.68,3541.05,3195.56,1277.71,1069.083020865386,6.99,1926.2,-135.5,-60.5,12.0,1.00562,-4.44657754898,-14.944095,21640.11192,471.123962402,-4264
0.7,1.53,-0.029200001,509.58,3488.21,3243.03,1288.22,1079.8999043390452,7.0,1914.79,-134.5,-60.5,10.0,0.991115,-5.32154560089,-15.419846,22337.30125,475.252868652,-4326
0.73,1.58,-0.0219,549.16,3435.21,3290.3,1300.5,1094.1526178736913,7.25,1904.03,-133.5,-60.5,10.0,0.991115,-7.94591140747,-15.545422,22250.749590000003,478.693054199,-4375
0.71,1.57,-0.021500001,591.69,3382.04,3337.36,1314.4,1111.7060981768593,7.17,1893.92,-132.5,-60.5,10.0,1.03245,-10.7202177048,-14.980154,23509.805679999998,481.224884033,-4411
0.71,1.55,-0.0294,601.0,3328.73,3384.21,1329.8,1132.4032717130556,7.1,1884.49,-131.5,-60.5,10.0,1.06946,-12.0230855942,-14.715273999999999,23874.771119999998,482.935394287,-4379
0.68,1.49,-0.0394,582.47,3275.27,3385.63,1346.58,1156.0710884840073,6.81,1875.28,-130.5,-60.5,10.0,1.06946,-11.5551862717,-15.017145000000001,23925.96817,484.486724854,-4295
0.68,1.47,-0.042199999,565.79,3221.65,3331.31,1364.64,1182.5263820213602,6.76,1866.23,-129.5,-60.5,10.0,1.06946,-10.4163036346,-14.888442999999999,23285.48622,486.676391602,-4158
0.69,1.52,-0.0363,554.85,3167.87,3276.89,1383.88,1211.5812020638575,7.0,1857.87,-128.5,-60.5,10.0,1.06946,-9.26232814789,-14.101942000000001,24258.29124,489.890289307,-4255
0.7,1.52,-0.0265,550.01,3113.96,3222.39,1404.24,1243.0473922262672,7.11,1850.22,-127.5,-60.5,10.0,1.06946,-8.28441143036,-13.71605,24876.914979999998,494.068664551,-4424
0.7,1.55,-0.020400001,551.43,3059.94,3167.81,1422.36,1276.7403052259424,7.24,1843.3,-126.5,-60.5,10.0,1.06946,-7.61221170425,-14.042725,25940.37247,498.834472656,-4645
0.68,1.49,-0.021400001,541.53,3005.8,3113.17,1441.3,1312.4816468197587,6.93,1836.99,-125.5,-60.5,10.0,1.06946,-7.69296264648,-14.041291000000001,26533.626559999997,503.592102051,-4772
0.67,1.49,-0.0231,521.36,2951.56,3058.47,1461.16,1350.101509672719,6.88,1830.77,-124.5,-60.5,11.0,1.06946,-8.41899871826,-13.250292000000002,27537.28676,507.587188721,-4809
0.7,1.54,-0.022299999,507.15,2897.23,3003.73,1481.91,1389.4397003066963,7.14,1824.54,-123.5,-60.5,11.0,1.06946,-9.15430164337,-12.556907,28423.14529,510.321105957,-4665
0.71,1.57,-0.018100001,499.41,2842.8,2948.95,1503.5,1430.346480750615,7.26,1818.38,-122.5,-60.5,10.0,1.02171,-9.24887180328,-12.588506,31261.46126,511.892333984,-4672
0.71,1.56,-0.0149,498.44,2788.29,2894.15,1517.6,1472.6828478970651,7.27,1812.87,-121.5,-60.5,10.0,1.02171,-8.3592300415,-12.832982000000001,34169.17419,513.038452148,-4713
0.69,1.53,-0.0139,504.29,2733.71,2839.34,1531.19,1516.3204640886097,7.21,1808.13,-120.5,-60.5,10.0,1.01255,-6.5748963356,-12.729781,36530.37643,514.649841309,-4755
0.68,1.49,-0.0132,516.71,2679.07,2784.52,1545.42,1561.1413372311233,7.18,1804.15,-119.5,-60.5,10.0,1.01255,-4.18625259399,-12.394264,38774.54758,517.134399414,-4827
0.67,1.49,-0.0113,535.25,2624.37,2729.72,1560.27,1607.0373314750505,7.09,1800.35,-118.5,-60.5,11.0,0.977577,-1.25121414661,-12.020271000000001,39519.81354,520.276489258,-4891
0.68,1.5,-0.0099,559.31,2569.62,2674.95,1575.74,1653.9095726123003,7.12,1796.55,-117.5,-60.5,11.0,0.977577,2.1056907177,-11.520244,40313.61008,523.578674316,-4940
0.67,1.47,-0.0112,588.18,2514.83,2620.22,1588.91,1701.6677971480572,7.0,1792.75,-116.5,-60.5,7.0,0.939766,4.764067173,-10.913027,42238.22021,526.679504395,-5018
0.65,1.45,-0.013,621.21,2460.03,2565.55,1602.34,1750.229681115968,6.9,1788.95,-115.5,-60.5,7.0,0.939766,4.03045415878,-10.409628,44094.74182,529.350891113,-5105
0.65,1.43,-0.0117,657.75,2405.21,2510.95,1609.46,1799.5201742245642,6.89,1785.15,-114.5,-60.5,7.0,0.868847,-2.52156162262,-10.079048,44486.01151,531.330810547,-5115
0.67,1.45,-0.008,697.26,2350.4,2456.44,1613.05,1849.4708566906693,6.94,1781.36,-113.5,-60.5,7.0,0.868847,-14.2305316925,-9.808211,44972.84317,532.403442383,-5128
0.67,1.46,-0.0069,728.48,2295.61,2402.04,1606.81,1900.01932983837,6.99,1777.68,-112.5,-60.5,10.0,0.853696,-27.3498630524,-9.57266,44937.33978,532.443969727,-5133
0.67,1.46,-0.0099,759.57,2240.84,2347.78,1601.4,1951.10864688471,6.99,1774.12,-111.5,-60.5,10.0,0.853696,-37.4062423706,-9.573706,45319.69833,531.504577637,-5155
0.67,1.49,-0.0135,793.87,2186.12,2293.66,1596.85,2002.686786970789,6.97,1770.56,-110.5,-60.5,7.0,0.836329,-39.3316078186,-10.063645,46073.77243,529.911315918,-5156
0.67,1.48,-0.0137,830.97,2131.45,2239.73,1593.15,2054.7061731406907,6.89,1767.0,-109.5,-60.5,7.0,0.836329,-30.2937641144,-10.935934,46887.142179999995,528.168457031,-5162
0.67,1.48,-0.0125,870.49,2076.86,2185.99,1590.32,2107.1232333778185,6.9,1763.44,-108.5,-60.5,10.0,0.836329,-13.2626838684,-11.621535,47061.12289,526.697998047,-5125
0.68,1.52,-0.0136,912.13,2022.36,2132.49,1588.36,2159.898002781983,7.05,1759.88,-107.5,-60.5,10.0,0.836329,3.17101597786,-11.701642999999999,47053.37906,525.625976562,-4934
0.68,1.5,-0.017000001,955.59,1967.97,2079.24,1587.28,2212.993764356536,6.91,1756.32,-106.5,-60.5,7.0,0.836329,11.0026769638,-11.453927,47560.31418,524.863037109,-4987
